CombinID,Player,Position,Height,Date_birth,Nationality,Website_player,Website_picture
20212482,J. García,Base,"1,85",06/04/2001,España,http://www.acb.com/jugador/temporada-a-temporada/id/20212482,http://static.acb.com/img/55/0/3d/280960pre34549.jpg
30000039,D. Kravic,Pivot,"2,10",09/09/1990,BosniaH.,http://www.acb.com/jugador/temporada-a-temporada/id/30000039,http://static.acb.com/img/3c/53/43/293011pre36181.jpg
30000040,F. Magee,Escolta,"1,91",13/11/1996,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/30000040,http://static.acb.com/img/4f/11/44/154317pre7107.jpg
20212971,V. Brodziansky,Ala-pivot,"2,10",08/05/1994,Eslovaquia,http://www.acb.com/jugador/temporada-a-temporada/id/20212971,http://static.acb.com/img/24/36/4d/283255pre34725.jpg
20202150,E. Calloway,Base,"1,90",30/09/1983,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/20202150,http://www.acb.com/fotos_cara/jugadores/JBICLACB58.jpg
20212957,M. De Zeeuw,Ala-pivot,"2,06",26/04/1987,Bélgica,http://www.acb.com/jugador/temporada-a-temporada/id/20212957,http://static.acb.com/img/4d/2d/2d/78095pre1717.jpg
20209101,N. Spires,Ala-pivot,"2,10",25/02/1994,ReinoUnido,http://www.acb.com/jugador/temporada-a-temporada/id/20209101,http://static.acb.com/img/5/61/5d/296494pre36575.jpg
20201815,D. Navarro,Escolta,"1,86",17/05/1983,España,http://www.acb.com/jugador/temporada-a-temporada/id/20201815,http://static.acb.com/img/18/63/41/154167pre7134.jpg
30000038,M. Daum,Ala-pivot,"2,06",30/10/1995,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/30000038,http://static.acb.com/img/11/47/14/295936pre36491.jpg
20200282,Á. Muñoz,Alero,"1,97",25/11/1990,España,http://www.acb.com/jugador/temporada-a-temporada/id/20200282,http://static.acb.com/img/46/54/a/295594pre36485.jpg
20212288,C. Czerapowicz,Alero,"2,01",15/09/1991,Suecia,http://www.acb.com/jugador/temporada-a-temporada/id/20212288,http://static.acb.com/img/4e/18/15/295654pre36479.jpg
20200279,P. Pozas,Base,"1,83",14/05/1992,España,http://www.acb.com/jugador/temporada-a-temporada/id/20200279,http://static.acb.com/img/4/1c/2/296020pre36449.jpg
20201916,K. Vasileiadis,Alero,"2,00",15/03/1984,Grecia,http://www.acb.com/jugador/temporada-a-temporada/id/20201916,http://static.acb.com/img/www/jugadores2021/RS355928_alt_53879.jpg
30000019,B. Davies,Pivot,"2,08",25/07/1991,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/30000019,http://static.acb.com/img/46/30/28/278911pre34228.jpg
20209836,A. Hanga,Alero,"2,00",12/04/1989,Hungría,http://www.acb.com/jugador/temporada-a-temporada/id/20209836,http://static.acb.com/img/6/2f/5a/278758pre34240.jpg
20209986,R. Smits,Ala-pivot,"2,07",25/06/1995,Letonia,http://www.acb.com/jugador/temporada-a-temporada/id/20209986,http://static.acb.com/img/35/5/63/279226pre34192.jpg
20202164,P. Oriola,Ala-pivot,"2,08",25/09/1992,España,http://www.acb.com/jugador/temporada-a-temporada/id/20202164,http://static.acb.com/img/28/39/5e/279187pre34198.jpg
20209223,A. Abrines,Escolta,"1,98",01/08/1993,España,http://www.acb.com/jugador/temporada-a-temporada/id/20209223,http://static.acb.com/img/5b/33/32/278797pre34246.jpg
30000020,C. Higgins,Alero,"1,96",14/06/1989,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/30000020,http://static.acb.com/img/34/25/8/278956pre34222.jpg
30000074,M. Delaney,Base,"1,91",11/03/1989,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/30000074,http://static.acb.com/img/37/24/26/156343pre7318.jpg
20210232,K. Kuric,Escolta,"1,93",25/08/1989,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/20210232,http://static.acb.com/img/www/jugadores2021/RS312321_alt_41088.jpg
20201901,V. Claver,Alero,"2,08",30/08/1988,España,http://www.acb.com/jugador/temporada-a-temporada/id/20201901,http://static.acb.com/img/7/5d/57/279355pre34171.jpg
20213026,L. Bolmaro,Escolta,"1,98",11/09/2000,Argentina,http://www.acb.com/jugador/temporada-a-temporada/id/20213026,http://static.acb.com/img/22/2c/6/279052pre34216.jpg
20202101,N. Mirotic,Ala-pivot,"2,08",11/02/1991,Montenegro,http://www.acb.com/jugador/temporada-a-temporada/id/20202101,http://static.acb.com/img/38/22/48/279142pre34204.jpg
20202172,A. Tomic,Pivot,"2,17",17/02/1987,Croacia,http://www.acb.com/jugador/temporada-a-temporada/id/20202172,http://static.acb.com/img/24/39/29/282448pre34737.jpg
20212427,L. Vildoza,Base,"1,91",11/08/1995,Argentina,http://www.acb.com/jugador/temporada-a-temporada/id/20212427,http://static.acb.com/img/6/4f/21/283837pre34749.jpg
20212476,M. González,Escolta,"2,03",20/03/1999,España,http://www.acb.com/jugador/temporada-a-temporada/id/20212476,http://www.acb.com/fotos_cara/jugadores/J55YLACB62.jpg
30000034,P. Henry,Base,"1,93",20/01/1993,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/30000034,http://static.acb.com/img/37/4e/1c/283903pre34755.jpg
20212458,M. Janning,Alero,"1,93",22/06/1988,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/20212458,http://static.acb.com/img/www/jugadores2021/RS326801_alt_45338.jpg
20209890,I. Diop,Pivot,"2,10",04/04/1995,Senegal,http://www.acb.com/jugador/temporada-a-temporada/id/20209890,http://static.acb.com/img/41/52/b/283675pre34815.jpg
20203770,J. Granger,Base,"1,88",15/09/1989,Uruguay,http://www.acb.com/jugador/temporada-a-temporada/id/20203770,http://www.acb.com/fotos_cara/jugadores/JY6KLACB63.jpg
30000037,Y. Fall,Pivot,"2,21",12/01/1995,Senegal,http://www.acb.com/jugador/temporada-a-temporada/id/30000037,http://static.acb.com/img/47/55/30/284263pre34821.jpg
